VHF Data::PointCode,Frequency,Alive,Point,GID_O,UTM_Zone,Easting,Northing,Azimuth,Date,Time_O,Time,Line,Wind,Rain,Temperature,Clouds,Observer,Notes,TrueLoc
BL-2018-05-25-1,149.594,Yes,1,1,22,369657,5270965,338,2018-05-25,15:01:39,150139,1,Mild,Clear,Cool,08-May,BS,Ben’s first,Yes
BL-2018-05-25-2,149.594,Yes,2,1,22,369450,5270982,58,2018-05-25,15:17:08,151708,2,Mild,Clear,Cool,08-May,BS,,Yes
BL-2018-05-25-3,149.594,Yes,3,1,22,369699,5271066,290,2018-05-25,15:32:17,153217,3,Mild,Clear,Cool,08-May,BS,Ben 3,Yes
BL-2018-06-01-1,149.412,Yes,1,1,22,369699,5271066,222,2018-06-01,10:27:48,102748,1,Mild,Clear,Cool,08-May,BS,,Yes
BL-2018-06-01-2,149.412,Yes,2,1,22,369493,5271193,160,2018-06-01,11:28:21,112821,2,Mild,Clear,Mild,08-Aug,BS,,Yes
BL-2018-06-01-3,149.412,Yes,3,1,22,369284,5271007,104,2018-06-01,12:22:13,122213,3,Mild,Clear,Mild,08-Aug,BS,,Yes
BL-2018-06-01-1,149.423,Yes,1,2,22,369699,5271066,249,2018-06-01,10:58:53,105853,1,Mild,Clear,Cool,08-May,BS,,Yes
BL-2018-06-01-3,149.423,Yes,3,2,22,369284,5271007,150,2018-06-01,12:13:56,121356,3,Mild,Clear,Mild,08-Aug,BS,,Yes
BL-2018-06-01-4,149.423,Yes,4,2,22,369285,5270784,12,2018-06-01,13:03:33,130333,4,Mild,Clear,Cool,08-Aug,BS,,Yes
BL-2018-06-01-1,149.555,Yes,1,3,22,369699,5271066,213,2018-06-01,10:51:59,105159,1,Mild,Clear,Cool,08-May,BS,,Yes
BL-2018-06-01-2,149.555,Yes,2,3,22,369493,5271193,163,2018-06-01,11:52:00,115200,2,Mild,Clear,Mild,08-Aug,BS,,Yes
BL-2018-06-01-3,149.555,Yes,3,3,22,369284,5271007,120,2018-06-01,12:02:10,120210,3,Mild,Clear,Cool,08-Aug,BS,Ben test,Yes
BL-2018-06-01-1,149.594,Yes,1,4,22,369699,5271066,220,2018-06-01,10:42:17,104217,1,Mild,Clear,Cool,08-May,BS,,Yes
BL-2018-06-01-2,149.594,Yes,2,4,22,369493,5271193,195,2018-06-01,11:39:21,113921,2,Mild,Clear,Mild,08-Aug,BS,,Yes
BL-2018-06-01-3,149.594,Yes,3,4,22,369284,5271007,130,2018-06-01,12:08:15,120815,3,Mild,Clear,Cool,08-Aug,BS,,Yes
BL-2018-06-01-4,149.594,Yes,4,4,22,369285,5270784,84,2018-06-01,13:11:50,131150,4,Mild,Clear,Cool,08-Aug,BS,,Yes
