Date,Collar,UTM_Zone,Easting,Northing,Observer,TrueLoc
2017-07-27,149.124,22,278719,5359616,MR,Yes
2017-07-27,149.173,22,278811,5359650,MR,Yes
2017-07-27,149.412,22,279217,5359525,MR,Yes
2017-07-27,149.093,22,279029,5359570,MR,Yes
2017-07-27,149.023,22,279096,5359455,MR,Yes
2017-07-29,149.053,22,279126,5359884,MR,Yes
2017-07-29,149.173,22,279028,5360023,MR,Yes
2017-07-29,149.124,22,278858,5360032,MR,Yes
2017-07-29,149.093,22,279247,5359830,MR,Yes
2017-07-29,149.412,22,278946,5360043,MR,Yes
2017-08-05,149.093,22,279079,5359872,MR,Yes
2017-08-05,149.124,22,279044,5359477,MR,Yes
2017-08-05,149.023,22,279096,5359455,MR,Yes
2017-08-05,149.173,22,279041,5359645,MR,Yes
2017-08-05,149.412,22,279104,5359432,MR,Yes
2017-08-05,149.053,22,279051,5359725,MR,Yes
2017-08-08,149.173,22,278811,5359650,MR,Yes
2017-08-08,149.053,22,279217,5359525,MR,Yes
2017-08-08,149.124,22,279049,5359445,MR,Yes
2017-08-08,149.412,22,278730,5359691,MR,Yes
2017-08-08,149.093,22,278980,5359514,MR,Yes
2017-08-08,149.023,22,279096,5359455,MR,Yes
2017-08-21,149.555,22,278959,5359506,MR,Yes
2017-08-21,149.093,22,278852,5359522,MR,Yes
2017-08-23,149.093,22,279227,5359631,MR,Yes
2017-08-23,149.023,22,279101,5359512,MR,Yes
2017-08-23,149.412,22,279155,5359450,MR,Yes
2018-05-25,149.594,22,369617,5271065,BS,Yes
2018-06-01,149.412,22,369480,5270995,BS,Yes
2018-06-01,149.423,22,369208,5270995,BS,Yes
2018-06-01,149.555,22,369281,5270823,BS,Yes
2018-06-01,149.594,22,369431,5270833,BS,Yes
2018-06-01,149.694,22,369638,5270989,BS,Yes
2018-06-02,149.412,22,369171,5270572,BS,Yes
2018-06-02,149.555,22,368940,5270527,BS,Yes
2018-06-02,149.594,22,369197,5270749,BS,Yes
2018-06-06,149.412,22,368755,5270382,BS,Yes
2018-06-06,149.694,22,368654,5270334,BS,Yes
2018-06-08,149.412,22,368009,5271087,BS,Yes
2018-06-08,149.423,22,368295,5271301,BS,Yes
2018-06-08,149.555,22,368316,5271196,BS,Yes
2018-06-08,149.594,22,368184,5271145,BS,Yes
2018-06-08,149.694,22,368134,5271163,BS,Yes
2018-06-11,149.412,22,368009,5271087,BS,No
2018-06-11,149.423,22,368295,5271301,BS,No
2018-06-11,149.555,22,368316,5271196,BS,No
2018-06-11,149.694,22,368134,5271163,BS,No
2018-06-14,149.694,22,369292,5270781,BS,Yes
2018-06-14,149.412,22,369148,5270702,BS,Yes
2018-06-14,149.555,22,368954,5270543,BS,Yes
