Frequency,Alive,Point,GID_O,UTM_Zone,Easting,Northing,Azimuth,Date,Time_O,Time,Line,Wind,Rain,Temperature,Clouds,Notes,Observer,TrueLoc
149.023,Yes,1,,22,279214,5359444,306,2017-07-27,10:11:45,101145,1,Mild,Clear,Warm,08-Jan,,MR,Yes
149.023,Yes,2,,22,279218,5360023,209,2017-07-27,10:53:36,105336,2,Mild,Clear,Warm,08-Jan,,MR,Yes
149.023,Yes,3,,22,278979,5359993,171,2017-07-27,11:37:16,113716,3,Mild,Clear,Warm,08-Jan,,MR,Yes
149.023,Yes,4,,22,278947,5359711,162,2017-07-27,12:22:37,122237,4,Calm,Clear,Warm,08-Jan,,MR,Yes
149.023,Yes,6,,22,278930,5359536,68,2017-07-27,13:42:08,134208,6,Mild,Clear,Warm,08-Jan,,MR,Yes
149.093,Yes,1,,22,279214,5359444,291,2017-07-27,10:11:56,101156,1,Mild,Clear,Warm,08-Jan,,MR,Yes
149.093,Yes,2,,22,279218,5360023,198,2017-07-27,10:53:43,105343,2,Mild,Clear,Warm,08-Jan,,MR,Yes
149.093,Yes,3,,22,278979,5359993,166,2017-07-27,11:39:06,113906,3,Mild,Clear,Warm,08-Jan,,MR,Yes
149.093,Yes,4,,22,278947,5359711,149,2017-07-27,12:26:12,122612,4,Calm,Clear,Warm,08-Jan,,MR,Yes
149.093,Yes,6,,22,278930,5359536,92,2017-07-27,13:45:04,134504,6,Mild,Clear,Warm,08-Jan,,MR,Yes
149.124,Yes,4,,22,278947,5359711,263,2017-07-27,12:32:31,123231,2,Calm,Clear,Warm,08-Jan,,MR,Yes
149.124,Yes,5,,22,278747,5359794,180,2017-07-27,13:10:38,131038,3,Mild,Clear,Warm,08-Jan,,MR,Yes
149.124,Yes,6,,22,278930,5359536,305,2017-07-27,13:28:37,132837,4,Mild,Clear,Warm,08-Jan,,MR,Yes
149.173,Yes,2,,22,279218,5360023,243,2017-07-27,10:59:20,105920,1,Mild,Clear,Warm,08-Jan,,MR,Yes
149.173,Yes,3,,22,278979,5359993,221,2017-07-27,11:56:03,115603,2,Mild,Clear,Warm,08-Jan,,MR,Yes
149.173,Yes,4,,22,278947,5359711,296,2017-07-27,12:29:20,122920,3,Calm,Clear,Warm,08-Jan,,MR,Yes
149.173,Yes,6,,22,278930,5359536,343,2017-07-27,13:38:32,133832,4,Mild,Clear,Warm,08-Jan,,MR,Yes
149.412,Yes,2,,22,279218,5360023,184,2017-07-27,10:53:49,105349,2,Mild,Clear,Warm,08-Jan,,MR,Yes
149.412,Yes,3,,22,278979,5359993,142,2017-07-27,11:55:56,115556,3,Mild,Clear,Warm,08-Jan,,MR,Yes
149.124,Yes,3,,22,278979,5359993,238,2017-07-27,12:10:22,121022,1,Mild,Clear,Warm,08-Jan,,MR,Yes
149.412,Yes,6,,22,278930,5359536,97,2017-07-27,13:31:50,133150,5,Mild,Clear,Warm,08-Jan,,MR,Yes
149.053,Yes,8,,22,279215,5359441,305,2017-07-29,15:13:15,151315,1,Mild,Clear,Warm,08-Jun,,MR,Yes
149.053,Yes,9,,22,278918,5359531,43,2017-07-29,15:53:37,155337,2,Calm,Clear,Warm,08-May,,MR,Yes
149.053,Yes,12,,22,278813,5359665,106,2017-07-29,17:49:12,174912,3,Calm,Clear,Mild,08-Aug,,MR,Yes
149.093,Yes,8,,22,279215,5359441,6,2017-07-29,15:12:40,151240,1,Calm,Clear,Warm,08-Jan,,MR,Yes
149.093,Yes,9,,22,278918,5359531,66,2017-07-29,15:53:07,155307,2,Calm,Clear,Warm,08-May,,MR,Yes
149.093,Yes,10,,22,278835,5359755,93,2017-07-29,16:38:53,163853,3,Mild,Clear,Warm,08-Aug,,MR,Yes
149.093,Yes,11,,22,278842,5359887,111,2017-07-29,17:04:46,170446,4,Calm,Clear,Mild,08-Aug,,MR,Yes
149.093,Yes,12,,22,278813,5359665,79,2017-07-29,17:58:38,175838,5,Calm,Clear,Mild,08-Aug,,MR,Yes
149.124,Yes,8,,22,279215,5359441,329,2017-07-29,15:12:23,151223,1,Calm,Clear,Warm,08-Jun,,MR,Yes
149.124,Yes,9,,22,278918,5359531,3,2017-07-29,15:52:56,155256,2,Calm,Clear,Warm,08-May,,MR,Yes
