ID,Herbivore,Herbivore Scientific Name,Plant Species,Plant Scientific Name,Plant group,N,P,C,StoichUnits,Protein,Carbohydrate,UnspFiber,NDF,ADF,Cellulose,Hemicellulose,Lignin,ADL,Fat,Ash,MnUnits,Terpenoids,TerpUnits,Tannins,TannUnits,Phenolics,PhenUnits,Resins,ResUnits,Monterpenes,MoneTerpUnits,SourceInPaper,Notes,Ref
1,Eastern cottontail,Sylvilagus floridanus,Black cherry,Prunus serotina,Broad-leaved,1.800,0.110,,% dry matter,,,,,,,,,,,,,,,9.100,% leaf dry weight,15.900,% leaf dry weight,,,,,Table4,from Fertilizer Treatment > Control,"Burney, O. T., and D. F. Jacobs. 2018. Species selection – A fundamental silvicultural tool to promote forest regeneration under high animal browsing pressure. Forest Ecology and Management 408:67–74."
1,Eastern cottontail,Sylvilagus floridanus,Bur oak,Quercus macrocarpa,Broad-leaved,1.700,0.070,,% dry matter,,,,,,,,,,,,,,,10.300,% leaf dry weight,14.200,% leaf dry weight,,,,,Table4,from Fertilizer Treatment > Control,"Burney, O. T., and D. F. Jacobs. 2018. Species selection – A fundamental silvicultural tool to promote forest regeneration under high animal browsing pressure. Forest Ecology and Management 408:67–74."
1,Eastern cottontail,Sylvilagus floridanus,Northern red oak,Quercus rubra,Broad-leaved,1.900,0.080,,% dry matter,,,,,,,,,,,,,,,9.700,% leaf dry weight,13.700,% leaf dry weight,,,,,Table4,from Fertilizer Treatment > Control,"Burney, O. T., and D. F. Jacobs. 2018. Species selection – A fundamental silvicultural tool to promote forest regeneration under high animal browsing pressure. Forest Ecology and Management 408:67–74."
1,Eastern cottontail,Sylvilagus floridanus,White oak,Quercus alba,Broad-leaved,1.700,0.090,,% dry matter,,,,,,,,,,,,,,,16.300,% leaf dry weight,20.600,% leaf dry weight,,,,,Table4,from Fertilizer Treatment > Control,"Burney, O. T., and D. F. Jacobs. 2018. Species selection – A fundamental silvicultural tool to promote forest regeneration under high animal browsing pressure. Forest Ecology and Management 408:67–74."
2,Snowshoe hare,Lepus americanus,Lodgepole pine,Pinus contorta,Coniferous,,,,,5.900,,,51.300,35.300,,15.900,,18.000,,,%,,,,,3.700,%,,,112.700,ppm,Table3,units are not very clear in text,"Wirsing, A. J., and D. L. Murray. 2002. Patterns in consumption of woody plants by snowshoe hares in the northwestern United States. Ecoscience 9:440–449."
2,Snowshoe hare,Lepus americanus,Ponderosa pine,Pinus ponderosa,Coniferous,,,,,6.300,,,46.900,31.400,,15.600,,14.300,,,%,,,,,5.100,%,,,105.200,ppm,Table3,units are not very clear in text,"Wirsing, A. J., and D. L. Murray. 2002. Patterns in consumption of woody plants by snowshoe hares in the northwestern United States. Ecoscience 9:440–449."
2,Snowshoe hare,Lepus americanus,Grand fir,Abies grandis,Coniferous,,,,,5.700,,,40.600,28.400,,12.200,,14.800,,,%,,,,,2.300,%,,,182.900,ppm,Table3,units are not very clear in text,"Wirsing, A. J., and D. L. Murray. 2002. Patterns in consumption of woody plants by snowshoe hares in the northwestern United States. Ecoscience 9:440–449."
2,Snowshoe hare,Lepus americanus,Engelmann spruce,Picea Engelmannii,Coniferous,,,,,5.100,,,48.900,33.800,,15.200,,17.200,,,%,,,,,8.700,%,,,48.900,ppm,Table3,units are not very clear in text,"Wirsing, A. J., and D. L. Murray. 2002. Patterns in consumption of woody plants by snowshoe hares in the northwestern United States. Ecoscience 9:440–449."
2,Snowshoe hare,Lepus americanus,Rocky Mountain fir,Abies lasiocarpa,Coniferous,,,,,5.500,,,44.300,29.700,,14.700,,16.000,,,%,,,,,5.200,%,,,129.900,ppm,Table3,units are not very clear in text,"Wirsing, A. J., and D. L. Murray. 2002. Patterns in consumption of woody plants by snowshoe hares in the northwestern United States. Ecoscience 9:440–449."
2,Snowshoe hare,Lepus americanus,Douglas fir,Pseudotsuga menziesii,Coniferous,,,,,5.300,,,43.700,30.900,,12.800,,17.000,,,%,,,,,6.800,%,,,102.700,ppm,Table3,units are not very clear in text,"Wirsing, A. J., and D. L. Murray. 2002. Patterns in consumption of woody plants by snowshoe hares in the northwestern United States. Ecoscience 9:440–449."
2,Snowshoe hare,Lepus americanus,Red cedar,Thuja plicata,Coniferous,,,,,5.600,,,47.600,34.800,,12.900,,16.600,,,%,,,,,3.700,%,,,29.400,ppm,Table3,units are not very clear in text,"Wirsing, A. J., and D. L. Murray. 2002. Patterns in consumption of woody plants by snowshoe hares in the northwestern United States. Ecoscience 9:440–449."
5,Snowshoe hare,Lepus americanus,Yarrow,Achillea millefolium,,,,,,24.600,,43.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Early June column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Red fruit bearberry,Arctostaphylos rubra,,,,,,20.700,,41.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Early June column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,American dwarf birch,Betula glandulosa,Broad-leaved,,,,,27.800,,40.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Early June column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Creeping dogwood,Cornus canadensis,,,,,,9.600,,45.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Early June column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Fireweed,Epilobium angustifolium,,,,,,27.900,,43.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Early June column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Bunchgrass,Festuca altaica,,,,,,20.100,,58.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Early June column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Arctic lupine,Lupinus arcticus,,,,,,34.600,,35.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Early June column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Willow,Salix spp.,Broad-leaved,,,,,30.900,,49.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Early June column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Canada buffaloberry,Shepherdia canadensis,,,,,,33.200,,48.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Early June column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Northern goldenrod,Solidago multiradiata,,,,,,28.200,,38.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Early June column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Yarrow,Achillea millefolium,,,,,,16.200,,40.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Late July column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Red fruit bearberry,Arctostaphylos rubra,,,,,,12.800,,43.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Late July column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,American dwarf birch,Betula glandulosa,Broad-leaved,,,,,20.500,,51.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Late July column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Creeping dogwood,Cornus canadensis,,,,,,12.400,,47.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Late July column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Fireweed,Epilobium angustifolium,,,,,,17.200,,50.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Late July column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Bunchgrass,Festuca altaica,,,,,,11.100,,63.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Late July column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Arctic lupine,Lupinus arcticus,,,,,,21.100,,36.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Late July column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Willow,Salix spp.,Broad-leaved,,,,,15.600,,57.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Late July column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Canada buffaloberry,Shepherdia canadensis,,,,,,19.700,,45.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Late July column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
