Frequency,EarTag,Date,Point,FixLocation,Easting,Northing,Azimuth,Time_O,Time,TimeCategory,Temp_C,Wind,Rain,Observer,Grid
149.124,A1688,2019-05-11,1,Knoll,-53.98013,48.34954,330,09:51:00,95100,Morning,1,5 VR,Very light snow,GR,BL
149.124,A1688,2019-05-11,2,Spruce,-53.98246,48.34985,28.5,11:14:00,111400,Morning,1,5 VR,Very light snow,GR,BL
149.124,A1688,2019-05-11,3,New point,-53.98391,48.35098,82,11:23:00,112300,Morning,1,5 VR,Very light snow,IR,BL
149.124,A1688,2019-05-12,1,Knoll,-53.98013,48.34954,330,14:59:00,145900,Afternoon 1,5,11 NNW,Cloudy,GR,BL
149.124,A1688,2019-05-12,2,Corner,-53.98381,48.35182,48,14:59:00,145900,Afternoon 1,5,11 NNW,Cloudy,IR,BL
149.124,A1688,2019-05-12,3,New point,-53.98393,48.35112,31.5,15:30:00,153000,Afternoon 1,5,11 NNW,Cloudy,IR,BL
149.124,A1688,2019-05-13,1,Corner,-53.98381,48.35182,86.5,09:51:00,95100,Morning 2,6,16 NNW,Mixed clouds,IR,BL
149.124,A1688,2019-05-13,2,Spruce,-53.98246,48.34985,352,10:14:00,101400,Morning 2,6,16 NNW,Mixed clouds,GR,BL
149.124,A1688,2019-05-13,3,Flagging Tape,-53.98401,48.35032,35,10:28:00,102800,Morning 2,6,16 NNW,Mixed clouds,IR,BL
149.124,A1688,2019-05-14,1,Knoll,-53.98013,48.34954,339,14:20:00,142000,Afternoon 2,14,10 W,Sunny,GR,BL
149.124,A1688,2019-05-14,2,Corner,-53.98381,48.35182,54.5,14:25:00,142500,Afternoon 2,14,10 W,Sunny,IR,BL
149.124,A1688,2019-05-14,3,Flagging Tape,-53.98401,48.35032,24.5,14:39:00,143900,Afternoon 2,14,10 W,Sunny,IR,BL
149.124,A1688,2019-05-15,1,Knoll,-53.98013,48.34954,350.5,10:17:00,101700,Morning 2,7,5 ESE,Cloudy,GR,BL
149.124,A1688,2019-05-15,2,Spruce,-53.98246,48.34985,12,10:36:00,103600,Morning 2,7,5 ESE,Cloudy,GR,BL
149.124,A1688,2019-05-15,3,Corner,-53.98381,48.35182,52,10:21:00,102100,Morning 2,7,5 ESE,Cloudy,IR,BL
149.124,A1688,2019-05-16,1,Knoll,-53.98013,48.34954,348,09:29:00,92900,Morning 1,3,4 SW,Cloudy,GR,BL
149.124,A1688,2019-05-16,2,Spruce,-53.98246,48.34985,19.5,09:40:00,94000,Morning 1,3,4 SW,Cloudy,GR,BL
