Frequency,EarTag,Alive,Point,UTMZone,Easting,Northing,Azimuth,Date,Time_O,Time,AM_PM,Line,Wind,Rain,Temp,Clouds,Notes,SampleTimeCat,SampleTimeGeneral,Observer,Grid
149.003,A3719,Yes,2,22,278951,5359713,104,2018-06-18,16:15:50,161550,PM,2,Mild,Clear,Mild,8out8,V weak,LateAfternoon,Afternoon,MR,BL
149.003,A3719,Yes,1,22,279218,5359443,329,2018-06-18,16:17:22,161722,PM,1,Strong,Clear,Mild,8out8,,LateAfternoon,Afternoon,BS,BL
149.003,A3719,Yes,3,22,278943,5359531,30,2018-06-18,17:12:25,171225,PM,3,Calm,Light,Mild,7out8,,EarlyEvening,Evening,BS,BL
149.003,A3719,Yes,7,22,279218,5359443,331,2018-06-21,10:47:28,104728,AM,7,Strong,Clear,Mild,7out8,Started again,LateMorning,Morning,BS,BL
149.003,A3719,Yes,10,22,278947,5359712,98,2018-06-21,10:47:47,104747,AM,1,Calm,Clear,Warm,8out8,Started again,LateMorning,Morning,MR,BL
149.003,A3719,Yes,9,22,278925,5359541,58,2018-06-21,11:10:50,111050,AM,9,Calm,Clear,Mild,5out8,,LateMorning,Morning,BS,BL
149.003,A3719,Yes,7,22,278950,5359709,87,2018-06-23,10:25:36,102536,AM,1,Mild,Clear,Warm,08-Jan,,LateMorning,Morning,BS,BL
149.003,A3719,Yes,10,22,279212,5359446,NA,2018-06-23,10:26:24,102624,AM,,,,,,Not heard,LateMorning,Morning,MR,BL
149.003,A3719,Yes,12,22,279242,5359800,NA,2018-06-23,11:09:59,110959,AM,,,,,,Not heard,LateMorning,Morning,MR,BL
149.003,A3719,Yes,14,22,279284,5359605,NA,2018-06-23,11:36:24,113624,AM,,,,,,Not heard,LateMorning,Morning,MR,BL
149.003,A3719,Yes,13,22,278980,5359921,116,2018-06-23,11:47:33,114733,AM,2,Mild,Clear,Warm,1out8,,LateMorning,Morning,BS,BL
149.003,A3719,Yes,15,22,279029,5359570,48,2018-06-23,11:59:28,115928,AM,3,Mild,Clear,Warm,1out8,,LateMorning,Morning,MR,BL
149.003,A3719,Yes,3,22,278766,5359780,74,2018-06-30,11:56:00,115600,AM,3,Calm,Clear,Mild,8out8,,Late Morning,Morning,KG,BL
149.003,A3719,Yes,2,22,279255,5359985,191,2018-06-30,12:00:00,120000,PM,,Calm,Clear,Mild,8out8,,Early Afternoon,Afternoon,BS,BL
149.003,A3719,Yes,1,22,279215,5359447,336,2018-06-30,13:45:00,134500,PM,1,Calm,Clear,Mild,8out8,,Early Afternoon,Afternoon,JBF,BL
