Frequency,EarTag,Point,FixLocation,Easting,Northing,Azimuth,Date,Time_O,Time,TimeCategory,Temp_C,Wind,Rain,Observer,Grid
149.124,A1688,1,Knoll,-53.98013,48.34954,330,2019-05-11,9:51:00,95100,Morning,1,5 VR,Very light snow,GR,BL
149.124,A1688,2,Spruce,-53.98246,48.34985,28.5,2019-05-11,11:14:00,111400,Morning,1,5 VR,Very light snow,GR,BL
149.124,A1688,3,New point,-53.98391,48.35098,82,2019-05-11,11:23:00,112300,Morning,1,5 VR,Very light snow,IR,BL
149.124,A1688,1,Knoll,-53.98013,48.34954,330,2019-05-12,14:59:00,145900,Afternoon 1,5,11 NNW,Cloudy,GR,BL
149.124,A1688,2,Corner,-53.98381,48.35182,48,2019-05-12,14:59:00,145900,Afternoon 1,5,11 NNW,Cloudy,IR,BL
149.124,A1688,3,New point,-53.98393,48.35112,31.5,2019-05-12,15:30:00,153000,Afternoon 1,5,11 NNW,Cloudy,IR,BL
149.124,A1688,1,Corner,-53.98381,48.35182,86.5,2019-05-13,9:51:00,95100,Morning 2,6,16 NNW,Mixed clouds,IR,BL
149.124,A1688,2,Spruce,-53.98246,48.34985,352,2019-05-13,10:14:00,101400,Morning 2,6,16 NNW,Mixed clouds,GR,BL
149.124,A1688,3,Flagging Tape,-53.98401,48.35032,35,2019-05-13,10:28:00,102800,Morning 2,6,16 NNW,Mixed clouds,IR,BL
149.124,A1688,1,Knoll,-53.98013,48.34954,339,2019-05-14,14:20:00,142000,Afternoon 2,14,10 W,Sunny,GR,BL
149.124,A1688,2,Corner,-53.98381,48.35182,54.5,2019-05-14,14:25:00,142500,Afternoon 2,14,10 W,Sunny,IR,BL
149.124,A1688,3,Flagging Tape,-53.98401,48.35032,24.5,2019-05-14,14:39:00,143900,Afternoon 2,14,10 W,Sunny,IR,BL
149.124,A1688,1,Knoll,-53.98013,48.34954,350.5,2019-05-15,10:17:00,101700,Morning 2,7,5 ESE,Cloudy,GR,BL
149.124,A1688,2,Spruce,-53.98246,48.34985,12,2019-05-15,10:36:00,103600,Morning 2,7,5 ESE,Cloudy,GR,BL
149.124,A1688,3,Corner,-53.98381,48.35182,52,2019-05-15,10:21:00,102100,Morning 2,7,5 ESE,Cloudy,IR,BL
149.124,A1688,1,Knoll,-53.98013,48.34954,348,2019-05-16,9:29:00,92900,Morning 1,3,4 SW,Cloudy,GR,BL
149.124,A1688,2,Spruce,-53.98246,48.34985,19.5,2019-05-16,9:40:00,94000,Morning 1,3,4 SW,Cloudy,GR,BL
149.124,A1688,3,Corner,-53.98381,48.35182,51.5,2019-05-16,9:30:00,93000,Morning 1,3,4 SW,Cloudy,IR,BL
149.124,A1688,1,Spruce,-53.98246,48.34985,1,2019-05-17,9:28:00,92800,Morning 1,3,10 SW,Cloudy,GR,BL
149.124,A1688,2,Corner,-53.98381,48.35182,86.5,2019-05-17,9:15:00,91500,Morning 1,3,10 SW,Cloudy,IR,BL
149.124,A1688,3,Top,-53.98657,48.35251,108,2019-05-17,9:32:00,93200,Morning 1,3,10 SW,Cloudy,IR,BL
149.124,A1688,1,Knoll,-53.98013,48.34954,334,2019-05-18,8:27:00,82700,Morning 1,4,12 SW,Cloudy,GR,BL
149.124,A1688,2,Spruce,-53.98246,48.34985,2,2019-05-18,8:41:00,84100,Morning 1,4,12 SW,Cloudy,GR,BL
149.124,A1688,3,Corner,-53.98381,48.35182,63.5,2019-05-18,8:27:00,82700,Morning 1,4,12 SW,Cloudy,IR,BL
149.124,A1688,1,Knoll,-53.98013,48.34954,359,2019-05-19,17:13:00,171300,Afternoon 4,4,14 NW,Cloudy,GR,BL
149.124,A1688,2,Corner,-53.98381,48.35182,82,2019-05-19,17:15:00,171500,Afternoon 4,4,14 NW,Cloudy,IR,BL
149.124,A1688,3,Middle,-53.98392,48.35111,62,2019-05-19,17:18:00,171800,Afternoon 4,4,14 NW,Cloudy,IR,BL
149.124,A1688,1,Knoll,-53.98013,48.34954,329,2019-05-20,5:40:00,54000,Morning 1,1,11 NW,Cloudy,GR,BL
149.124,A1688,2,Spruce,-53.98246,48.34985,356,2019-05-20,5:53:00,55300,Morning 1,1,11 NW,Cloudy,GR,BL
149.124,A1688,3,Corner,-53.98381,48.35182,60.5,2019-05-20,5:40:00,54000,Morning 1,1,11 NW,Cloudy,IR,BL
149.124,A1688,1,Knoll,-53.98013,48.34954,322,2019-05-21,18:50:00,185000,Evening 1,4,5 ENE,Cloudy,GR,BL
149.124,A1688,2,Spruce,-53.98246,48.34985,343,2019-05-21,19:01:00,190100,Evening 1,4,5 ENE,Cloudy,GR,BL
149.124,A1688,3,Corner,-53.98381,48.35182,42.5,2019-05-21,18:48:00,184800,Evening 1,4,5 ENE,Cloudy,IR,BL
149.124,A1688,1,Knoll,-53.98013,48.34954,315,2019-05-22,18:49:00,184900,Evening 1,1,17 NNW,Drizzling,GR,BL
149.124,A1688,2,Corner,-53.98381,48.35182,84.5,2019-05-22,18:50:00,185000,Evening 1,1,17 NNW,Drizzling,IR,BL
149.124,A1688,3,Spruce,-53.98246,48.34985,344,2019-05-22,18:56:00,185600,Evening 1,1,17 NNW,Drizzling,GR,BL
149.124,A1688,1,Corner,-53.98381,48.35182,92.5,2019-05-23,8:59:00,85900,Morning 1,1,18 NW,Cloudy,IR,BL
149.124,A1688,2,Spruce,-53.98246,48.34985,30.5,2019-05-23,9:14:00,91400,Morning 1,1,18 NW,Cloudy,GR,BL
149.124,A1688,3,Middle,-53.98392,48.35111,76,2019-05-23,9:21:00,92100,Morning 1,1,18 NW,Cloudy,IR,BL
149.124,A1688,1,Knoll,-53.98013,48.34954,334,2019-05-24,5:40:00,54000,Morning 1,1,14 NNW,Cloudy,GR,BL
149.124,A1688,2,Spruce,-53.98246,48.34985,7,2019-05-24,5:45:00,54500,Morning 1,1,14 NNW,Cloudy,GR,BL
149.124,A1688,3,Corner,-53.98381,48.35182,62,2019-05-24,5:42:00,54200,Morning 1,1,14 NNW,Cloudy,IR,BL
149.124,A1688,1,Knoll,-53.98013,48.34954,324,2019-05-25,6:14:00,61400,Morning 2,1,5 WSW,Clear,GR,BL
149.124,A1688,2,Spruce,-53.98246,48.34985,356,2019-05-25,6:23:00,62300,Morning 2,1,5 WSW,Clear,GR,BL
149.124,A1688,3,Corner,-53.98381,48.35182,62.5,2019-05-25,6:15:00,61500,Morning 2,1,5 WSW,Clear,IR,BL
149.124,A1688,1,Squirrel,-53.9848,48.35209,62,2019-05-26,17:43:00,174300,Afternoon 4,12,7 NE,Sunny,GR,BL
149.124,A1688,2,Corner,-53.98381,48.35182,48,2019-05-26,17:51:00,175100,Afternoon 4,12,7 NE,Sunny,GR,BL
149.124,A1688,3,Middle,-53.98392,48.35111,39,2019-05-26,17:59:00,175900,Afternoon 4,12,7 NE,Sunny,GR,BL
149.124,A1688,1,Corner,-53.98381,48.35182,62,2019-05-27,18:28:00,182800,Evening 2,5,8 ENE,Cloudy,GR,BL
149.124,A1688,2,Flagging Tape,-53.98401,48.35032,27,2019-05-27,18:37:00,183700,Evening 2,5,8 ENE,Cloudy,GR,BL
149.124,A1688,3,Spruce,-53.98246,48.34985,359,2019-05-27,18:46:00,184600,Evening 2,5,8 ENE,Cloudy,GR,BL
149.124,A1688,1,Rock,-53.98146,48.34948,357,2019-05-28,10:52:00,105200,Morning 3,4,5 E,Cloudy,GR,BL
149.124,A1688,2,Middle,-53.98392,48.35111,46,2019-05-28,11:11:00,111100,Morning 3,4,5 E,Cloudy,GR,BL
149.124,A1688,3,Corner,-53.98381,48.35182,79,2019-05-28,11:15:00,111500,Morning 3,4,5 E,Cloudy,GR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,359,2019-05-11,11:05:00,110500,Morning,1,5 VR,Very light snow,GR,BL
149.233,A1700,2,New point,-53.98392,48.35098,64,2019-05-11,11:45:00,114500,Morning,1,5 VR,Very light snow,IR,BL
